Fisher,Variance_F,SE_F,ID_R,Year,country,design,terrortype,outcome
0.127739,0.006211,0.07881,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.104588,0.006536,0.080846,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.053333,0.006536,0.080846,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.04466,0.006536,0.080846,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.100245,0.006536,0.080846,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.096863,0.006536,0.080846,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.076773,0.006536,0.080846,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.109756,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.019039,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.041639,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.064109,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.502216,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.099066,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.253304,0.006289,0.079303,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.167657,0.006289,0.079303,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.091632,0.006289,0.079303,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.150553,0.006289,0.079303,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.107019,0.006289,0.079303,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.184431,0.006289,0.079303,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.065314,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.013886,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.06887,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.00621,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.084042,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
-0.016255,0.006369,0.079806,10014,2001,Israel,Longitudinal,Islamist,Outgroup Hostility
0.388423,0.00237,0.048683,10015,2010,United States,Correlation,No Ideology,Conservatism
0.036791,0.002959,0.054397,10016,2009,Israel,(Quasi)Experiment,Islamist,Outgroup Hostility
0.149095,0.001096,0.033106,10017,2012,United States,(Quasi)Experiment,No Ideology,Conservatism
0.178285,0.001096,0.033106,10017,2012,United States,(Quasi)Experiment,No Ideology,Conservatism
0.050826,0.010526,0.102596,10018,2015,United States,(Quasi)Experiment,No Ideology,Conservatism
0.235618,0.010526,0.102596,10018,2015,United States,(Quasi)Experiment,No Ideology,Conservatism
0.191721,0.010526,0.102596,10018,2015,United States,(Quasi)Experiment,No Ideology,Conservatism
0.30952,0.006944,0.083331,10018,2015,United States,(Quasi)Experiment,No Ideology,Conservatism
0.192337,0.006944,0.083331,10018,2015,United States,(Quasi)Experiment,No Ideology,Conservatism
0.276864,0.003367,0.058026,10019,2016,United States,Correlation,No Ideology,Conservatism
0.13074,0.003367,0.058026,10019,2016,United States,Correlation,No Ideology,Rally Effects
0.140926,0.003367,0.058026,10019,2016,United States,Correlation,No Ideology,Conservatism
0.30952,0.003367,0.058026,10019,2016,United States,Correlation,No Ideology,Conservatism
-0.047854,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Conservatism
0.038878,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Rally Effects
-0.03499,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Conservatism
-0.013106,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Conservatism
0.07016,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Conservatism
-0.045872,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Rally Effects
0.086592,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Conservatism
0,0.003367,0.058026,10019,2016,United States,(Quasi)Experiment,Islamist,Conservatism
0.163979,0.001255,0.035426,10020,2018,United States,(Quasi)Experiment,No Ideology,Conservatism
0.114763,0.001256,0.03544,10020,2018,United States,(Quasi)Experiment,No Ideology,Conservatism
0.164345,0.001245,0.035285,10020,2018,United States,(Quasi)Experiment,No Ideology,Conservatism
0.130334,0.001241,0.035228,10020,2018,United States,(Quasi)Experiment,No Ideology,Conservatism
0.031921,0.001321,0.036346,10020,2018,United States,(Quasi)Experiment,No Ideology,Conservatism
0.047235,0.001287,0.035875,10020,2018,United States,(Quasi)Experiment,No Ideology,Conservatism
0.213171,0.02381,0.154305,10021,2006,United States,Longitudinal,Islamist,Conservatism
0.234189,0.02381,0.154305,10021,2006,United States,Longitudinal,Islamist,Conservatism
0.435611,0.02381,0.154305,10021,2006,United States,Longitudinal,Islamist,Conservatism
0.376886,0.02381,0.154305,10021,2006,United States,Longitudinal,Islamist,Conservatism
0.072663,0.003663,0.060523,10022,2007,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.168358,0.003663,0.060523,10022,2007,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.270247,0.003663,0.060523,10022,2007,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.007553,0.000674,0.025962,10023,2018,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.020499,0.000787,0.028054,10023,2018,United States,(Quasi)Experiment,Islamist,Outgroup Hostility
0.293759,0.002,0.044721,10024,2009,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.109682,0.001572,0.039648,10024,2009,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.282389,0.001263,0.035539,10024,2009,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.452881,0.002717,0.052125,10025,2012,United States,Correlation,No Ideology,Conservatism
0.408618,0.002717,0.052125,10025,2012,United States,Correlation,No Ideology,Conservatism
0.481212,0.002717,0.052125,10025,2012,United States,Correlation,No Ideology,Outgroup Hostility
0.452881,0.002717,0.052125,10025,2012,United States,Correlation,No Ideology,Outgroup Hostility
0.32745,0.002717,0.052125,10025,2012,United States,Correlation,No Ideology,Conservatism
0.30952,0.002717,0.052125,10025,2012,United States,Correlation,No Ideology,Conservatism
0.887184,0.005263,0.072547,10026,2018,United States,Correlation,Islamist,Outgroup Hostility
0.928727,0.005263,0.072547,10026,2018,United States,Correlation,Islamist,Outgroup Hostility
0.829114,0.005263,0.072547,10026,2018,United States,Correlation,Islamist,Outgroup Hostility
0.907645,0.005263,0.072547,10026,2018,United States,Correlation,Islamist,Outgroup Hostility
0.632833,0.005263,0.072547,10026,2018,United States,Correlation,Islamist,Outgroup Hostility
0.354093,0.005348,0.07313,10027,2009,Israel,Correlation,Islamist,Outgroup Hostility
0.758174,0.005348,0.07313,10027,2009,Israel,Correlation,Islamist,Conservatism
0.050042,0.002146,0.046325,10028,2009,Israel,Longitudinal,No Ideology,Outgroup Hostility
0.090244,0.002146,0.046325,10028,2009,Israel,Longitudinal,No Ideology,Outgroup Hostility
0.181983,0.002146,0.046325,10028,2009,Israel,Longitudinal,No Ideology,Conservatism
0.069628,0.004405,0.06637,10029,2016,Israel,(Quasi)Experiment,Other,Outgroup Hostility
0.040021,0.001285,0.035847,10030,2017,Israel,Correlation,Islamist,Conservatism
-0.01,0.000838,0.028948,10030,2017,Israel,Correlation,Other,Conservatism
-0.01,0.001285,0.035847,10030,2017,Israel,Correlation,Islamist,Conservatism
-0.040021,0.000838,0.028948,10030,2017,Israel,Correlation,Other,Conservatism
0.080171,0.001285,0.035847,10030,2017,Israel,Correlation,Islamist,Conservatism
0.060072,0.000838,0.028948,10030,2017,Israel,Correlation,Other,Conservatism
0.100335,0.001285,0.035847,10030,2017,Israel,Correlation,Islamist,Conservatism
-0.030009,0.000838,0.028948,10030,2017,Israel,Correlation,Other,Conservatism
0.110447,0.001285,0.035847,10030,2017,Israel,Correlation,Islamist,Conservatism
-0.090244,0.000838,0.028948,10030,2017,Israel,Correlation,Other,Conservatism
0.060072,0.001285,0.035847,10030,2017,Israel,Correlation,Islamist,Conservatism
0,0.000838,0.028948,10030,2017,Israel,Correlation,Other,Conservatism
0.342889,0.028571,0.16903,10031,2018,Israel,(Quasi)Experiment,Other,Conservatism
0.351685,0.023256,0.152499,10031,2018,Israel,(Quasi)Experiment,Other,Conservatism
-0.079541,0.023256,0.152499,10031,2018,Israel,(Quasi)Experiment,Other,Conservatism
0.355924,0.023256,0.152499,10031,2018,Israel,(Quasi)Experiment,Other,Conservatism
-0.120392,0.023256,0.152499,10031,2018,Israel,(Quasi)Experiment,Other,Conservatism
0.149676,0.006711,0.081921,10031,2018,Israel,Correlation,Other,Conservatism
-0.037275,0.001164,0.034117,10031,2018,Israel,Correlation,Other,Conservatism
-0.062802,0.001218,0.0349,10031,2018,Israel,Correlation,Other,Conservatism
-0.125008,0.001304,0.036111,10031,2018,Israel,Correlation,Other,Conservatism
0.01,0.001866,0.043197,10031,2018,Israel,Correlation,Other,Conservatism
0.080171,0.003125,0.055902,10031,2018,Israel,Correlation,Other,Conservatism
0.050042,0.001965,0.044328,10031,2018,Israel,Correlation,Other,Conservatism
0.091252,0.003236,0.056886,10031,2018,Israel,Correlation,Other,Conservatism
0.080171,0.002123,0.046076,10031,2018,Israel,Correlation,Other,Conservatism
0.187155,0.003413,0.058421,10031,2018,Israel,Correlation,Other,Conservatism
0.081178,0.001866,0.043197,10031,2018,Israel,Correlation,Other,Conservatism
0.155235,0.003125,0.055902,10031,2018,Israel,Correlation,Other,Conservatism
0.090244,0.001965,0.044328,10031,2018,Israel,Correlation,Other,Conservatism
0.225759,0.003236,0.056886,10031,2018,Israel,Correlation,Other,Conservatism
0.140926,0.002123,0.046076,10031,2018,Israel,Correlation,Other,Conservatism
0.127689,0.003413,0.058421,10031,2018,Israel,Correlation,Other,Conservatism
0.084526,0.002398,0.048969,10032,2018,Israel,Longitudinal,Other,Conservatism
0.234189,0.0125,0.111803,10033,2019,Israel,(Quasi)Experiment,Islamist,Conservatism
0.244774,0.026316,0.162222,10033,2019,Israel,(Quasi)Experiment,Islamist,Conservatism
0.56273,0.001996,0.044677,10034,2008,Israel,Correlation,No Ideology,Outgroup Hostility
0.693147,0.001996,0.044677,10034,2008,Israel,Correlation,No Ideology,Outgroup Hostility
0.354093,0.001996,0.044677,10034,2008,Israel,Correlation,No Ideology,Conservatism
0.51007,0.001996,0.044677,10034,2008,Israel,Correlation,No Ideology,Conservatism
0.182168,0.000552,0.023495,10035,2007,United States,(Quasi)Experiment,Islamist,Conservatism
0.069255,0.000552,0.023495,10035,2007,United States,(Quasi)Experiment,Islamist,Conservatism
0.119459,6e-04,0.024495,10035,2007,United States,(Quasi)Experiment,Islamist,Conservatism
0.034918,6e-04,0.024495,10035,2007,United States,(Quasi)Experiment,Islamist,Conservatism
0.080171,0.000496,0.022271,10036,2019,United States,Correlation,No Ideology,Conservatism
0.020003,0.000492,0.022181,10036,2019,United States,Correlation,No Ideology,Conservatism
0.100335,0.000528,0.022978,10036,2019,United States,Correlation,No Ideology,Conservatism
0.077153,0.00052,0.022804,10036,2019,United States,Correlation,No Ideology,Outgroup Hostility
0.100335,0.000222,0.0149,10036,2019,United States,Correlation,No Ideology,Conservatism
0.185085,0.000189,0.013748,10036,2019,United States,Correlation,No Ideology,Conservatism
0.107411,0.000188,0.013711,10036,2019,United States,Correlation,No Ideology,Conservatism
0.160361,0.000197,0.014036,10036,2019,United States,Correlation,No Ideology,Conservatism
0.169608,0.000191,0.01382,10036,2019,United States,Correlation,No Ideology,Outgroup Hostility
0.133793,0.000278,0.016673,10036,2019,United States,Correlation,No Ideology,Conservatism
0.09327,0.000279,0.016703,10036,2019,United States,Correlation,No Ideology,Conservatism
0.064088,0.000282,0.016793,10036,2019,United States,Correlation,No Ideology,Conservatism
0.121596,0.000282,0.016793,10036,2019,United States,Correlation,No Ideology,Outgroup Hostility
0.025459,0.001441,0.037961,10037,2018,Other: Western,(Quasi)Experiment,Islamist,Conservatism
-0.031285,0.000205,0.014318,10037,2018,Other: Western,(Quasi)Experiment,Islamist,Conservatism
-0.058214,0.000978,0.031273,10037,2018,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.041556,3.8e-05,0.006164,10037,2018,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.009323,0.000978,0.031273,10037,2018,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.111231,3.8e-05,0.006164,10037,2018,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.244774,0.003509,0.059237,10038,2014,,Correlation,Other,Outgroup Hostility
0.100335,0.002994,0.054717,10038,2014,,Correlation,Other,Outgroup Hostility
0.234189,0.003509,0.059237,10038,2014,,Correlation,Other,Rally Effects
0.110447,0.002994,0.054717,10038,2014,,Correlation,Other,Rally Effects
0.181983,0.004608,0.067882,10039,2020,United States,Correlation,Islamist,Outgroup Hostility
0.276864,0.004608,0.067882,10039,2020,United States,Correlation,Islamist,Conservatism
0.030009,0.004608,0.067882,10039,2020,United States,Correlation,Islamist,Conservatism
0.213171,0.004608,0.067882,10039,2020,United States,Correlation,Islamist,Rally Effects
0.120581,0.004608,0.067882,10039,2020,United States,Correlation,Islamist,Rally Effects
-0.020003,0.004608,0.067882,10039,2020,United States,Correlation,Islamist,Rally Effects
0.213171,0.004405,0.06637,10039,2020,Other: Western,Correlation,Islamist,Outgroup Hostility
0.223656,0.004405,0.06637,10039,2020,Other: Western,Correlation,Islamist,Conservatism
0.213171,0.004405,0.06637,10039,2020,Other: Western,Correlation,Islamist,Conservatism
0.15114,0.004405,0.06637,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
0.320545,0.004405,0.06637,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
-0.171667,0.004405,0.06637,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
0.100335,0.006757,0.082201,10039,2020,Other: Western,Correlation,Islamist,Outgroup Hostility
0.070115,0.006757,0.082201,10039,2020,Other: Western,Correlation,Islamist,Outgroup Hostility
0.320545,0.006757,0.082201,10039,2020,Other: Western,Correlation,Islamist,Conservatism
0.030009,0.006757,0.082201,10039,2020,Other: Western,Correlation,Islamist,Conservatism
0.110447,0.006757,0.082201,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
0.181983,0.006757,0.082201,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
0.020003,0.006757,0.082201,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
-0.01,0.005556,0.074539,10039,2020,Other: Western,Correlation,Islamist,Outgroup Hostility
-0.01,0.005556,0.074539,10039,2020,Other: Western,Correlation,Islamist,Outgroup Hostility
0.140926,0.005556,0.074539,10039,2020,Other: Western,Correlation,Islamist,Conservatism
0.266108,0.005556,0.074539,10039,2020,Other: Western,Correlation,Islamist,Conservatism
0.070115,0.005556,0.074539,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
-0.030009,0.005556,0.074539,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
0,0.005556,0.074539,10039,2020,Other: Western,Correlation,Islamist,Rally Effects
0.4847,0.001709,0.04134,10040,2008,United States,Correlation,Islamist,Conservatism
0.388423,0.001709,0.04134,10040,2008,United States,Correlation,Islamist,Conservatism
0.192337,0.001709,0.04134,10040,2008,United States,Correlation,Islamist,Rally Effects
0.161387,0.001709,0.04134,10040,2008,United States,Correlation,Islamist,Conservatism
0.040021,0.001709,0.04134,10040,2008,United States,Correlation,Islamist,Conservatism
0.13074,0.001709,0.04134,10040,2008,United States,Correlation,Islamist,Rally Effects
0.127751,0.005848,0.076472,10041,2015,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.212654,0.005848,0.076472,10041,2015,Other: Western,(Quasi)Experiment,Islamist,Conservatism
0.070115,0.004717,0.06868,10042,2018,Other: Western,Correlation,Islamist,Conservatism
0.040021,0.004717,0.06868,10042,2018,Other: Western,Correlation,Islamist,Conservatism
-0.050042,0.004717,0.06868,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
0.15114,0.004717,0.06868,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
0.110447,0.004717,0.06868,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
-0.01,0.002151,0.046379,10042,2018,Other: Western,Correlation,Islamist,Conservatism
0.070115,0.002151,0.046379,10042,2018,Other: Western,Correlation,Islamist,Conservatism
0.030009,0.002151,0.046379,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
0.060072,0.002151,0.046379,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
0.129916,0.00211,0.045935,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
0.1347,0.00211,0.045935,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
0.105957,0.00211,0.045935,10042,2018,Other: Western,Correlation,Islamist,Outgroup Hostility
0.129916,0.00211,0.045935,10042,2018,Other: Western,Correlation,Islamist,Conservatism
0.161387,0.003676,0.06063,10043,2005,Other: Western,Correlation,No Ideology,Conservatism
0.15114,0.003676,0.06063,10043,2005,Other: Western,Correlation,No Ideology,Conservatism
0.171667,0.003676,0.06063,10043,2005,Other: Western,Correlation,No Ideology,Conservatism
0.070115,0.003676,0.06063,10043,2005,Other: Western,Correlation,No Ideology,Conservatism
0.13074,0.003676,0.06063,10043,2005,Other: Western,Correlation,No Ideology,Conservatism
0.117538,0.001838,0.042872,10044,2005,Other: Western,Correlation,No Ideology,Conservatism
0.150118,0.001835,0.042837,10044,2005,Other: Western,Correlation,No Ideology,Conservatism
0.212125,0.001832,0.042802,10044,2005,Other: Western,Correlation,No Ideology,Conservatism
0.339108,0.008475,0.09206,10045,2016,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
-0.137813,0.009709,0.098534,10045,2016,Other: Western,(Quasi)Experiment,Islamist,Outgroup Hostility
0.185151,0.008475,0.09206,10045,2016,Other: Western,(Quasi)Experiment,Islamist,Conservatism
0.066267,0.009709,0.098534,10045,2016,Other: Western,(Quasi)Experiment,Islamist,Conservatism
-0.056522,0.008475,0.09206,10045,2016,Other: Western,(Quasi)Experiment,Islamist,Rally Effects
-0.535835,0.009709,0.098534,10045,2016,Other: Western,(Quasi)Experiment,Islamist,Rally Effects
0.354093,0.000745,0.027295,10046,2007,Other: Western,Correlation,Islamist,Rally Effects
-0.140926,0.004367,0.066083,10046,2007,Other: Western,Correlation,Islamist,Rally Effects
0.174969,0.000838,0.028948,10046,2007,Other: Western,Correlation,Islamist,Outgroup Hostility
